respo,project,samptype,date8,night,nights,tele_7,survlgth,times,intrace,intgend,s_samptype,s_market,intro3,cell1,qs1,qa1,q921,q1half,dcdir,dcdirnew,q1aq1bnet,mainproblem,bowserappfull,bowsernet,q4_half,h_qord_q4a_q4f_q4a,h_qord_q4a_q4f_q4b,h_qord_q4a_q4f_q4c,h_qord_q4a_q4f_q4d,h_qord_q4a_q4f_q4e,h_qord_q4a_q4f_q4f,bowsercrime,q4anet,bowserhomeless,q4bnet,bowserpandemic,q4cnet,bowserhousing,q4dnet,bowserschools,q4enet,bowsersaferoads,q4fnet,regvoter,regparty,chancevote,h_aord_q7_1,h_aord_q7_2,h_aord_q7_3,q7,h_aord_q8_1,h_aord_q8_2,h_aord_q8_3,q8,mayor22,h_qord_q9a_q9d_q9a,h_qord_q9a_q9d_q9b,h_qord_q9a_q9d_q9c,h_qord_q9a_q9d_q9d,bowserfav,robertwhitefav,trayonwhitefav,mendfav,bowserrestrictions,vaccinemandate,vaccine,ratedcps,ratedcpsnet,parents,kidschool,q15,q14q15net,rateyourdcps,q16net,schoolspandemic,q17net,h_aord_q18_1,h_aord_q18_2,remoteschool,ratepolice,q13bnet,hoodsafe,q19net,crimevictim,q20net,q21_half,h_qord_q21a_q21d_q21a,h_qord_q21a_q21d_q21b,h_qord_q21a_q21d_q21c,h_qord_q21a_q21d_q21d,morepolice,q21anet,violenceinterruptors,q21bnet,econopportunity,q21cnet,gunsentences,q21dnet,homelesscamps,leavedc,leavedcwhere,leavedcfull,leavedcreason,affordhood,q24net,commandersname,q28net,choosename,h_aord_q30_1,h_aord_q30_2,fundfootballstadium,quad,quad2,q909,q909a,edubreak,colleduc,educnew,q910,q910a,agebreak,q918,racenet,income,income2,q29x,l1,c1,phonstat,q924,sex,lang,SITE,INT_Location,weight,allresp,white,age3anew,age50,college,income50,income3,income75,income4,racesex,raceeduc,raceinc,wardnew,kidschoolnet,survey,livedc,wardnew2
157389,29242-1001,CELL PHONE RDD,20220213,12th night,13,1407,11.2355833333333,1,Other race,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Wrong track,wrong track NET,Poverty/homelessness,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,1,3,2, , , ,(VOL) DK/No Opinion,DK/No opinion,Poor job,Not-so-good/poor job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Independent, , , , , , , , , , ,2,3,1,4,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Oppose,Yes,Poor,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,"Would reduce crime, A LOT",Would reduce crime NET, , ,Would not reduce crime,Would not reduce crime,Would not reduce crime,Would not reduce crime,Support,Yes,Outside the D.C. area,Would move outside D.C. area,Housing affordability,Very easy,Easy NET,Hate it,Dislike NET,the Redskins,Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,24, ,Age 18-29,Asian,Asian,100 thousand or more,150 to under 200 thousand,0, ,"No, no home telephone",Cell Only,male,Male,English,FL,Virtual Call Center,.8923697,All adults,Non-white,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,Nonwhite men,Black college, Black $50K+,3,No kids at home,20210214,4 years or less,Ward 2/3
157461,29242-1001,CELL PHONE RDD,20220209,8th night,13,1615,11.4979666666667,3,Other race,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,2,4,1,3,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Oppose,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,No too safe,not too/not safe at all NET,"Yes, SOMEONE ELSE IN HOUSEHOLD",Household member victim of violent crime in past 5 years NET,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, A LOT",Would reduce crime NET,Would not reduce crime,Would not reduce crime, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) DK/No Opinion,DK/No opinion,the Washington Football Team,Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,22, ,Age 18-29,Black,black,Under 20 thousand dollars, ,22, ,"No, no home telephone",Cell Only,female,Female,English,TX,Virtual Call Center,2.8276349,All adults,Non-white,Age 18-39,18-49,College,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black college,Black <$50K,1,No kids at home,20210214,20+ years,Ward 1/4
157613,29242-1001,CELL PHONE RDD,20220207,6th night,13,1625,16.7919166666667,2,White Hispanic,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Disapprove SOMEWHAT,disapprove NET,Q4A-Q4C,3,1,2, , , ,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Robert White, , , , ,Robert White,4,2,3,1,Unfavorable,Favorable,Favorable,Unfavorable,Right amount,Support,Yes,Good,Excellent/Good  NET,Yes,D.C. public schools, ,Public,Excellent,Excellent/Good job NET,Good,Excellent/Good job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,require all students to attend school in person,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,(VOL) DK/No Opinion,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Washington Football Team,Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,43, ,Age 40-49,White,white,100 thousand or more,150 to under 200 thousand,15, ,"No, no home telephone",Cell Only,female,Female,English,WV,Virtual Call Center,.7219874,All adults,White,Age 40-64,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,White women,White college,White $50K+,4,Have children in public school,20210214,10-19 years,Ward 1/4
157727,29242-1001,CELL PHONE RDD,20220207,6th night,13,1829,13.2522333333333,2,White,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,(VOL)  DK/No Opinion, ,DK/No opinion,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Good job,Excellent/Good job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,2,3,4,1,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Oppose,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,3, ,1,2,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Support,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) DK/No Opinion,DK/No opinion,the Washington Football Team,Favor,Oppose,Favor,Northwest, ,"Some college (ASK IF TECHNICAL SCHOOL; IF YES, PUNCH CODE 3, FOR HIGH SCHOOL)", ,some college +,no college degree,some college,82, ,Age 65+,Black,black,20 to under 35 thousand, ,55, ,"Yes, has a home telephone",Dual Service,male,Male,English,WV,Call Center,.5112664,All adults,Non-white,Age 65+,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black non-college,Black <$50K,4,No kids at home,20210214,20+ years,Ward 1/4
157739,29242-1001,CELL PHONE RDD,20220204,3rd night,13,1909,11.5882,1,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4A-Q4C,3,2,1, , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET, , , , , , ,"No, not registered", , , , , , , , , , , ,4,3,2,1,Favorable,Don't know enough to say,Unfavorable,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,"Would reduce crime, A LOT",Would reduce crime NET, , ,(VOL) DK/No Opinion,DK/No opinion,"Would reduce crime, A LOT",Would reduce crime NET,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Like it,Like NET,the Redskins,Oppose,Favor,Oppose,Southeast,(VOL) DK/No opinion,Graduated high school, ,graduated high school,no college degree,high school or less,67, ,Age 65+,Black,black,20 to under 35 thousand, ,whole life, ,"No, no home telephone",Cell Only,male,Male,English,WV,Virtual Call Center,.5848389,All adults,Non-white,Age 65+,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black non-college,Black <$50K,7,No kids at home,20210214,20+ years,Ward 7/8
158534,29242-1001,CELL PHONE RDD,20220208,7th night,13,2102,16.5201833333333,1,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Mayor/issues involving mayor,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Trayon White,Robert White,(VOL) Someone else (SPECIFY),Muriel Bowser,Trayon White,Robert White,(VOL) Someone else (SPECIFY),Other Candidate,1,4,3,2,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Too many,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Commanders,Favor,Oppose,Oppose,Northwest, ,"Some college (ASK IF TECHNICAL SCHOOL; IF YES, PUNCH CODE 3, FOR HIGH SCHOOL)", ,some college +,no college degree,some college,69, ,Age 65+,Black,black,Under 20 thousand dollars, ,whole life, ,"No, no home telephone",Cell Only,female,Female,English,WV,Virtual Call Center,.609948,All adults,Non-white,Age 65+,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black non-college,Black <$50K,4,No kids at home,20210214,20+ years,Ward 1/4
158810,29242-1001,CELL PHONE RDD,20220207,6th night,13,2029,12.5105166666667,1,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Disapprove STRONGLY,disapprove NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,Poor job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Trayon White,Robert White,(VOL) Neither/None,Muriel Bowser,Trayon White,Robert White,(VOL) Neither/None,None,2,4,3,1,Unfavorable,Unfavorable,Don't know enough to say,Favorable,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,(VOL) DK/No Opinion,(VOL) DK/No opinion, ,DK/No opinion, ,Somewhat easy,Easy NET,Hate it,Dislike NET,(VOL) Other (Specify),Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,63, ,Age 50-64,White,white,(VOL) NA/Refused, ,40, ,"Yes, has a home telephone",Dual Service,female,Female,English,WV,Virtual Call Center,.6204048,All adults,White,Age 40-64,50+,College, , , , ,White women,White college, ,3,No kids at home,20210214,20+ years,Ward 2/3
158837,29242-1001,CELL PHONE RDD,20220210,9th night,13,1639,25.1937166666667,3,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1b, ,Wrong track,wrong track NET,Jobs/creating more employment opportunites,Approve STRONGLY,approve NET,Q4A-Q4C,2,1,3, , , ,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Very likely to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,4,1,2,3,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Not enough,Support,Yes,Poor,Not-so-good/poor  NET,No, , , , , , , , , , ,Poor,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,1, ,3,2,"Would reduce crime, A LOT",Would reduce crime NET, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET,Support,Yes,Outside the D.C. area,Would move outside D.C. area,Work reasons,Very difficult,Difficult NET,Like it,Like NET,the Commanders,Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,60, ,Age 50-64,Asian,Asian,35 to under 50 thousand, ,8, ,"Yes, has a home telephone",Dual Service,female,Female,English,WV,Call Center,.7430988,All adults,Non-white,Age 40-64,50+,College,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black college,Black <$50K,1,No kids at home,20210214,5-9 years,Ward 1/4
158930,29242-1001,CELL PHONE RDD,20220208,7th night,13,1925,11.8398333333333,1,White,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Right direction, ,right direction NET,Want D.C. to be self-governing/have representation in Congress/congressional oversight/statehood,Approve STRONGLY,approve NET,Q4A-Q4C,1,3,2, , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Republican, , , , , , , , , , ,2,1,3,4,Favorable,Don't know enough to say,Unfavorable,Unfavorable,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Very easy,Easy NET,Like it,Like NET,the Washington Football Team,Favor,Oppose,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,68, ,Age 65+,White,white,100 thousand or more,(VOL) NA/Refused,40, ,"Yes, has a home telephone",Dual Service,female,Female,English,WV,Virtual Call Center,.3143568,All adults,White,Age 65+,50+,College,$50K+,$100K+,Income $75K+, ,White women,White college,White $50K+,3,No kids at home,20210214,20+ years,Ward 2/3
159008,29242-1001,CELL PHONE RDD,20220211,10th night,13,1640,13.58175,2,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Disapprove STRONGLY,disapprove NET,Q4D-Q4F, , , ,3,1,2, , , , , , ,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Trayon White,Robert White,Robert White, , , , ,Robert White,1,3,4,2,Unfavorable,Favorable,Unfavorable,Favorable,Too many,Oppose,Yes,Poor,Not-so-good/poor  NET,Yes,Combination,No,Combination Not Public or Charter/DK/Ref, , , , , , , ,Poor,Not-so-good/poor  NET,Not safe at all,not too/not safe at all NET,"Yes, MYSELF",Household member victim of violent crime in past 5 years NET,Q20D-Q20E ASKED,3, ,1,2,Would not reduce crime,Would not reduce crime, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Support,Yes,D.C. suburbs,Would move to D.C. Suburbs,Family reasons,Somewhat difficult,Difficult NET,Like it,Like NET,the Washington Football Team,Oppose,Favor,Oppose,Southeast,East,Graduated high school, ,graduated high school,no college degree,high school or less,25, ,Age 18-29,Black,black,20 to under 35 thousand, ,whole life, ,"No, no home telephone",Cell Only,female,Female,English,WV,Virtual Call Center,3.1011074,All adults,Non-white,Age 18-39,18-49,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black non-college,Black <$50K,8,"Have children, too young/don't attend/homeschooled/other",20210214,20+ years,Ward 7/8
159113,29242-1001,CELL PHONE RDD,20220205,4th night,13,1410,13.01225,2,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,Right direction, ,right direction NET,Poverty/homelessness,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,4,2,1,3,Favorable,Favorable,Don't know enough to say,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Like it,Like NET,the Commanders,Favor,Oppose,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,68, ,Age 65+,White,white,100 thousand or more,150 to under 200 thousand,45, ,"Yes, has a home telephone",Dual Service,male,Male,English,NY,Virtual Call Center,.617315,All adults,White,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,2,No kids at home,20210214,20+ years,Ward 2/3
159255,29242-1001,CELL PHONE RDD,20220213,12th night,13,1329,13.64,2,White,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Poverty/homelessness,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Trayon White,Robert White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,4,1,3,2,Favorable,Unfavorable,Don't know enough to say,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,Yes,Charter public schools, ,Charter,Excellent,Excellent/Good job NET,Excellent,Excellent/Good job NET,require all students to attend school in person,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,Good,Excellent/Good  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Love it,Like NET,the Washington Football Team,Favor,Oppose,Favor,Northeast,West,Post graduate, ,some college +,college degree,post-graduate degree,44, ,Age 40-49,White,white,100 thousand or more,100 to under 150 thousand,14, ,"No, no home telephone",Cell Only,male,Male,English,WV,Virtual Call Center,.6686622,All adults,White,Age 40-64,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,4,Have children in charter school,20210214,10-19 years,Ward 1/4
159373,29242-1001,CELL PHONE RDD,20220208,7th night,13,2108,19.2696333333333,2,White,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1b, ,Wrong track,wrong track NET,Housing costs/low-income housing/more affordable housing,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Poor job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,"Yes, registered",Democrat,Absolutely certain to vote,Trayon White,Robert White,Muriel Bowser,Trayon White, , , , ,Trayon White,4,2,1,3,Unfavorable,Favorable,Favorable,Favorable,Right amount,Support,Yes,Excellent,Excellent/Good  NET,No, , , , , , , , , , ,Excellent,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,Northwest, ,Graduated high school, ,graduated high school,no college degree,high school or less,56, ,Age 50-64,Black,black,Under 20 thousand dollars, ,whole life, ,"No, no home telephone",Cell Only,female,Female,English,WV,Virtual Call Center,1.8633688,All adults,Non-white,Age 40-64,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black non-college,Black <$50K,1,No kids at home,20210214,20+ years,Ward 1/4
159414,29242-1001,CELL PHONE RDD,20220211,10th night,13,1626,12.8378166666667,3,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Very likely to vote,Trayon White,Muriel Bowser,Robert White,Muriel Bowser, , , , ,Muriel Bowser,4,1,2,3,Favorable,Don't know enough to say,Favorable,Unfavorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Somewhat easy,Easy NET,Dislike it,Dislike NET,the Washington Football Team,Favor,Oppose,Oppose,Northeast,East,Graduated college,Bachelors degree,some college +,college degree,college degree,25, ,Age 18-29,Black,black,50 to under 75 thousand, ,23, ,"No, no home telephone",Cell Only,male,Male,English,FL,Virtual Call Center,1.7409309,All adults,Non-white,Age 18-39,18-49,College,$50K+,$50-$100K,Income <$75K,$50-$100K,Nonwhite men,Black college, Black $50K+,5,No kids at home,20210214,20+ years,Ward 5/6
159521,29242-1001,CELL PHONE RDD,20220210,9th night,13,2015,10.6528333333333,1,Black,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Housing costs/low-income housing/more affordable housing,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,3,2,1, , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET, , , , , , ,"Yes, registered",Independent, , , , , , , , , , ,3,4,2,1,Unfavorable,Favorable,Favorable,Unfavorable,Right amount,Oppose,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,"Yes, MYSELF",Household member victim of violent crime in past 5 years NET,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Favor,Oppose,Oppose,Northeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,32, ,Age 30-39,Black,black,100 thousand or more,100 to under 150 thousand,whole life, ,"No, no home telephone",Cell Only,female,Female,English,WV,Call Center,1.0819289,All adults,Non-white,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,Nonwhite women,Black college, Black $50K+,98,No kids at home,20210214,20+ years,Ward 5/6
160057,29242-1001,CELL PHONE RDD,20220210,9th night,13,1639,13.9796333333333,2,Black,Female,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Want D.C. to be self-governing/have representation in Congress/congressional oversight/statehood,Approve SOMEWHAT,approve NET,Q4A-Q4C,2,1,3, , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Trayon White,Robert White,(VOL) DK/No Opinion,Muriel Bowser,Trayon White,Robert White,Robert White,Robert White,3,4,1,2,Favorable,Don't know enough to say,Don't know enough to say,Unfavorable,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,Would not reduce crime,Would not reduce crime,Would not reduce crime,Would not reduce crime, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,65, ,Age 65+,Black,black,75 to under 100 thousand, ,40, ,"No, no home telephone",Cell Only,male,Male,English,WV,Virtual Call Center,.2514988,All adults,Non-white,Age 65+,50+,College,$50K+,$50-$100K,Income $75K+,$50-$100K,Nonwhite men,Black college, Black $50K+,4,No kids at home,20210214,20+ years,Ward 1/4
160131,29242-1001,CELL PHONE RDD,20220212,11th night,13,1724,12.1301166666667,2,White,Male,2,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1b, ,Wrong track,wrong track NET,Crime/violence/guns,Disapprove SOMEWHAT,disapprove NET,Q4A-Q4C,2,1,3, , , ,Excellent job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,Good job,Excellent/Good job NET, , , , , , ,"No, not registered", , , , , , , , , , , ,3,2,4,1,Favorable,Favorable,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Good,Excellent/Good  NET,Yes,Charter public schools, ,Charter,Good,Excellent/Good job NET,Good,Excellent/Good job NET,require all students to attend school in person,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Love it,Like NET,the Commanders,Favor,Oppose,Oppose,Northeast,West,Some high school, ,less than high school,no college degree,high school or less,38, ,Age 30-39,White Hispanic,Hispanic,20 to under 35 thousand, ,10, ,"No, no home telephone",Cell Only,female,Female,Spanish,WV,Virtual Call Center,4.6644972,All adults,Non-white,Age 18-39,18-49,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black non-college,Black <$50K,1,Have children in charter school,20210214,10-19 years,Ward 1/4
