id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3,Q4,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
257000123,.5599,English,qualified,54,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Not serious at all,Don’t know,Yes,Should not,Not confident at all,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000124,.5928,English,qualified,77,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Working part-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Should,Don’t know,Should,Not confident at all,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000125,.5018,English,qualified,63,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$10,000 to $24,999",Widowed,Metro,South,Rented for cash,Florida,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Don’t know,Skipped, ,Something else,50-64,"No, I am not willing to be interviewed"
257000126,1.3193,English,qualified,50,Master’s degree or above,Bachelors degree or higher,Female,Hispanic,2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
257000127,.6109,English,qualified,68,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$50,000 to $74,999",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,An Independent,65+,"Yes, I am willing to be interviewed"
257000128,1.0766,English,qualified,59,Master’s degree or above,Bachelors degree or higher,Male,Hispanic,4,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Not so confident,Catholic,No,A Democrat,50-64,"No, I am not willing to be interviewed"
257000129,.9491,English,qualified,63,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not too serious,Should not,Don’t know,Should not,Not so confident,Catholic,No,A Republican,50-64,"No, I am not willing to be interviewed"
257000130,.4659,English,qualified,71,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Maryland,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,A Democrat,65+,"No, I am not willing to be interviewed"
257000131,2.3894,English,qualified,24,High school graduate (high school diploma or the equivalent GED),High school,Female,"Black, Non-Hispanic",4,"$150,000 or more",Never married,Metro,South,Owned or being bought by you or someone in your household,Florida,Currently laid off,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,Yes,Should,Not confident at all,No religion, ,A Democrat,18-29,"No, I am not willing to be interviewed"
257000132,.6602,English,qualified,75,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,New Mexico,Retired,Not working,not parents of children 0-17 YO,No opinion,Unfavorable,Don’t know,Don’t know,Yes,Don’t know,Not confident at all,Catholic,No,A Republican,65+,"No, I am not willing to be interviewed"
257000133,.7626,English,qualified,74,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Don’t know,Jewish, ,An Independent,65+,"Yes, I am willing to be interviewed"
257000134,.9477,English,qualified,26,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Catholic,No,A Republican,18-29,"No, I am not willing to be interviewed"
257000135,.6297,English,qualified,78,No high school diploma or GED,Less than high school,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Widowed,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Somewhat serious,Should,No,Don’t know,Somewhat confident,No religion, ,An Independent,65+,"Yes, I am willing to be interviewed"
257000136,1.4361,English,qualified,59,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Iowa,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,50-64,"No, I am not willing to be interviewed"
257000137,1.1051,English,qualified,33,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Catholic,No,A Republican,30-49,"No, I am not willing to be interviewed"
257000138,1.0915,English,qualified,59,Master’s degree or above,Bachelors degree or higher,Female,"Other, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Buddhist, ,A Democrat,50-64,"No, I am not willing to be interviewed"
257000139,.6911,English,qualified,73,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Don’t know,No,Should,Somewhat confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000140,.9529,English,qualified,51,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,North Carolina,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,50-64,"No, I am not willing to be interviewed"
257000141,.5929,English,qualified,46,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Idaho,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Should,Yes,Should,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,30-49,"No, I am not willing to be interviewed"
257000142,.7736,English,qualified,67,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$150,000 or more",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Self-employed,Working part-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not too serious,Should not,Yes,Don’t know,Not confident at all,Skipped, ,A Republican,65+,"No, I am not willing to be interviewed"
257000143,.6465,English,qualified,78,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Iowa,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,65+,"No, I am not willing to be interviewed"
257000144,.9195,English,qualified,69,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Working part-time,not parents of children 0-17 YO,Favorable,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000145,.6974,English,qualified,69,Master’s degree or above,Bachelors degree or higher,Male,"Black, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Democrat,65+,"Yes, I am willing to be interviewed"
257000146,1.1086,English,qualified,35,Bachelor’s degree,Bachelors degree or higher,Male,"2+ Races, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Very confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,30-49,"No, I am not willing to be interviewed"
257000147,.8717,English,qualified,42,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,An Independent,30-49,"No, I am not willing to be interviewed"
257000148,.6197,English,qualified,61,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Self-employed,Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not so confident,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000149,.9275,English,qualified,71,Bachelor’s degree,Bachelors degree or higher,Male,Hispanic,2,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Catholic,No,An Independent,65+,"Yes, I am willing to be interviewed"
257000150,.9258,English,qualified,75,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Non-Metro,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should not,Don’t know,Other Christian religion,Yes,A Democrat,65+,"Yes, I am willing to be interviewed"
257000151,1.2525,English,qualified,42,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Non-Metro,MidWest,Rented for cash,Wisconsin,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,30-49,"No, I am not willing to be interviewed"
257000152,.4551,English,qualified,68,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,New Mexico,Retired,Not working,not parents of children 0-17 YO,No opinion,Unfavorable,Somewhat serious,Don’t know,Yes,Don’t know,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000153,1.3738,Spanish,qualified,54,Some college or Associate degree,Some college,Female,Hispanic,4,"$100,000 to $149,999",Now Married,Metro,West,Rented for cash,California,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,Yes,Should,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Democrat,50-64,"No, I am not willing to be interviewed"
257000154,1.236,English,qualified,51,Bachelor’s degree,Bachelors degree or higher,Male,Hispanic,2,"$100,000 to $149,999",Divorced,Metro,NorthEast,Rented for cash,New Jersey,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,An Independent,50-64,"Yes, I am willing to be interviewed"
257000155,.6677,English,qualified,56,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Never married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
257000156,1.0394,English,qualified,78,High school graduate (high school diploma or the equivalent GED),High school,Male,Hispanic,2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Very confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000157,1.3947,English,qualified,42,Some college or Associate degree,Some college,Male,Hispanic,5,"$150,000 or more",Never married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Working full-time,missing data,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Democrat,30-49,"No, I am not willing to be interviewed"
257000158,.8376,English,qualified,61,Some college or Associate degree,Some college,Female,Hispanic,2,"$75,000 to $99,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,Arizona,Employed part-time (by someone else),Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Very serious,Should not,Yes,Should not,Not confident at all,Other Christian religion,Yes,A Republican,50-64,"No, I am not willing to be interviewed"
257000159,.7489,English,qualified,69,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000160,.758,English,qualified,29,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",4,"$75,000 to $99,999",Now Married,Metro,West,Rented for cash,Utah,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Somewhat serious,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,18-29,"No, I am not willing to be interviewed"
257000161,1.1486,English,qualified,44,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",Six or more,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Self-employed,Working full-time,parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Somewhat confident,Islam/Muslim, ,A Democrat,30-49,"No, I am not willing to be interviewed"
257000162,1.3134,English,qualified,39,Master’s degree or above,Bachelors degree or higher,Female,"Other, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Don’t know,No religion, ,A Democrat,30-49,"No, I am not willing to be interviewed"
257000163,1.2903,English,qualified,53,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Self-employed,Working full-time,not parents of children 0-17 YO,No opinion,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000164,.879,English,qualified,72,Some college or Associate degree,Some college,Female,Hispanic,2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,A Democrat,65+,"No, I am not willing to be interviewed"
257000165,.6334,English,qualified,71,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,West,Rented for cash,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Other non-Christian religion, ,A Democrat,65+,"Yes, I am willing to be interviewed"
257000166,2.4812,English,qualified,25,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",5,"$25,000 to $49,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Virginia,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,No opinion,Somewhat serious,Don’t know,Yes,Should,Don’t know,Other non-Christian religion, ,A Democrat,18-29,"No, I am not willing to be interviewed"
257000167,.9771,English,qualified,45,Some college or Associate degree,Some college,Male,"Black, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Rented for cash,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not too serious,Should not,Yes,Should not,Not confident at all,No religion, ,An Independent,30-49,"No, I am not willing to be interviewed"
257000168,.5222,English,qualified,77,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000169,.8231,English,qualified,57,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Retired,Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Democrat,50-64,"No, I am not willing to be interviewed"
257000170,.8219,English,qualified,63,High school graduate (high school diploma or the equivalent GED),High school,Male,"Other, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Should,Very confident,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000171,.7926,English,qualified,78,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Widowed,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Don’t know,Very serious,Should,No,Should,Somewhat confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000172,.7334,English,qualified,63,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Self-employed,Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Don’t know,Yes,Should not,Not confident at all,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000173,.713,English,qualified,32,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Utah,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Mormon,No,An Independent,30-49,"Yes, I am willing to be interviewed"
257000174,.7023,English,qualified,78,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Alabama,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000175,.8779,English,qualified,54,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$10,000 to $24,999",Widowed,Metro,West,Rented for cash,Arizona,Employed part-time (by someone else),Not working,not parents of children 0-17 YO,No opinion,No opinion,Very serious,Don’t know,Don’t know,Should,Somewhat confident,Islam/Muslim, ,A Democrat,50-64,"No, I am not willing to be interviewed"
257000176,.9188,English,qualified,58,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$75,000 to $99,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,Kentucky,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Other Christian religion,No,A Republican,50-64,"No, I am not willing to be interviewed"
257000177,.6731,English,qualified,44,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,NorthEast,Rented for cash,New York,Self-employed,Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,No religion, ,A Democrat,30-49,"Yes, I am willing to be interviewed"
257000178,.8214,English,qualified,59,Some college or Associate degree,Some college,Male,"Black, Non-Hispanic",2,"$100,000 to $149,999",Never married,Metro,West,Rented for cash,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Don’t know,Favorable,Very serious,Should,Yes,Should not,Not confident at all,Other non-Christian religion, ,A Democrat,50-64,"Yes, I am willing to be interviewed"
257000179,.4551,English,qualified,73,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Somewhat confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000180,.5747,English,qualified,69,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,Wyoming,Retired,Not working,not parents of children 0-17 YO,Don’t know,No opinion,Don’t know,Should,No,Should,Somewhat confident,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
257000181,.9377,English,qualified,60,High school graduate (high school diploma or the equivalent GED),High school,Male,Hispanic,3,"$150,000 or more",Now Married,Metro,NorthEast,Rented for cash,New York,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Don’t know,Yes,Should not,Don’t know,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000182,.536,English,qualified,73,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Rented for cash,Utah,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Don’t know,Yes,Should,Not confident at all,Mormon,No,A Republican,65+,"No, I am not willing to be interviewed"
257000183,.7962,English,qualified,61,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Oklahoma,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Republican,50-64,"No, I am not willing to be interviewed"
257000184,1.7166,English,qualified,80,High school graduate (high school diploma or the equivalent GED),High school,Female,Hispanic,2,"$25,000 to $49,999",Now Married,Metro,South,Rented for cash,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Not too serious,Should not,Yes,Don’t know,Not so confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000185,.7436,English,qualified,88,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$50,000 to $74,999",Divorced,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Not so confident,Catholic,No,An Independent,65+,"Yes, I am willing to be interviewed"
257000186,.6902,English,qualified,46,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,Catholic,No,A Democrat,30-49,"No, I am not willing to be interviewed"
257000187,.7962,English,qualified,65,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not too serious,Should not,Yes,Should not,Not so confident,Catholic,No,A Republican,65+,"No, I am not willing to be interviewed"
257000188,.7812,English,qualified,36,Bachelor’s degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",4,"$100,000 to $149,999",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Michigan,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Should,Very confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,Something else,30-49,"Yes, I am willing to be interviewed"
257000189,1.7379,Spanish,qualified,43,High school graduate (high school diploma or the equivalent GED),High school,Female,Hispanic,3,"$150,000 or more",Now Married,Metro,West,Rented for cash,Colorado,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Somewhat serious,Should,Don’t know,Don’t know,Somewhat confident,Catholic,No,A Democrat,30-49,"No, I am not willing to be interviewed"
257000190,.7656,English,qualified,24,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",5,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,18-29,"Yes, I am willing to be interviewed"
